,0,1,2,3,4,5,6
central,hidalgo,cd.mexico,morelos,puebla,guerrero,estado de mexico,michoacan
lazaro cardenas,michoacan,,,,,,
grijalva,chiapas,,,,,,
veracruz,puebla,veracruz,,,,,
puebla,oaxaca,tlaxcala,hidalgo,morelos,puebla,,
temascal,veracruz,oaxaca,,,,,
coatzacoalcos,tabasco,veracruz,,,,,
poza rica,puebla,veracruz,,,,,
acapulco,guerrero,,,,,,
tabasco,tabasco,chiapas,,,,,
ixtepec,oaxaca,,,,,,
carapan,colima,jalisco,michoacan,,,,
san luis potosi,san luis potosi,,,,,,
salamanca,guanajuato,,,,,,
guadalajara,nayarit,jalisco,michoacan,,,,
tepic,nayarit,jalisco,,,,,
queretaro,hidalgo,jalisco,queretaro,guanajuato,michoacan,,
aguascalientes,zacatecas,aguascalientes,san luis potosi,jalisco,zacatecas ,guanajuato,michoacan
manzanillo,michoacan,colima,jalisco,,,,
obregon,sonora,sinaloa,,,,,
hermosillo,sonora,,,,,,
cananea,sonora,,,,,,
los mochis,sinaloa,,,,,,
culiacan,sonora,sinaloa,,,,,
mazatlan,sinaloa,,,,,,
laguna,durango,coahuila,,,,,
chihuahua,durango,coahuila,chihuahua,,,,
juarez,chihuahua,,,,,,
durango,durango,zacatecas,,,,,
moctezuma,chihuahua,,,,,,
huasteca,san luis potosi,hidalgo,veracruz,tamaulipas,,,
valles,san luis potosi,tamaulipas,,,,,
rio escondido,coahuila,,,,,,
monterrey,coahuila,nuevo leon,tamaulipas,,,,
nuevo laredo,tamaulipas,,,,,,
reynosa,nuevo leon,tamaulipas,,,,,
saltillo,coahuila,,,,,,
guemez,tamaulipas,,,,,,
matamoros,tamaulipas,,,,,,
no aplica,no aplica,,,,,,
tamazunchale,san luis potosi,,,,,,
oriente,nuevo leon,,,,,,
ensenada,baja california,,,,,,
mexicali,baja california,,,,,,
los cabos,baja california sur,,,,,,
tijuana,baja california,,,,,,
la paz,baja california sur,,,,,,
san luis rio colorado,sonora,,,,,,
constitucion,baja california sur,,,,,,
cancun,quintana roo,,,,,,
lerma,campeche,,,,,,
merida,yucatan,,,,,,
cozumel,quintana roo,,,,,,
chetumal,quintana roo,,,,,,
